city,state,dv_data_value
Overland Park,KS,70.3
South Bend,IN,66.5
Kansas City,KS,66.5
Topeka,KS,70.8
Waterloo,IA,68.4
Cedar Rapids,IA,68.6
Olathe,KS,70.0
Des Moines,IA,68.6
Sioux City,IA,67.0
Muncie,IN,67.2
Iowa City,IA,70.2
Lafayette,IN,65.7
Louisville,KY,75.3
Baton Rouge,LA,74.9
Lafayette,LA,73.5
Kenner,LA,72.0
New Orleans,LA,73.0
Lake Charles,LA,73.5
Lexington,KY,71.9
Cambridge,MA,75.6
Fall River,MA,75.8
Shreveport,LA,75.2
Boston,MA,74.7
Brockton,MA,78.0
Portland,ME,66.6
Baltimore,MD,75.0
Lynn,MA,77.9
Quincy,MA,74.5
Somerville,MA,74.7
Newton,MA,75.0
Worcester,MA,76.4
Dearborn,MI,70.2
Lawrence,MA,77.1
Detroit,MI,78.6
New Bedford,MA,76.1
Springfield,MA,75.6
Lowell,MA,74.2
Ann Arbor,MI,69.1
Rochester Hills,MI,70.8
Bloomington,MN,68.5
Farmington Hills,MI,72.2
Wyoming,MI,71.7
Troy,MI,71.0
Kalamazoo,MI,70.6
Livonia,MI,71.2
Minneapolis,MN,69.1
Sterling Heights,MI,70.2
Westland,MI,72.2
Flint,MI,76.7
Duluth,MN,65.0
Warren,MI,70.6
Lansing,MI,71.0
Grand Rapids,MI,73.1
Brooklyn Park,MN,70.3
Southfield,MI,77.5
O'Fallon,MO,69.3
St. Joseph,MO,71.5
Independence,MO,67.5
Kansas City,MO,70.8
Lee's Summit,MO,68.7
Gulfport,MS,69.6
Plymouth,MN,68.7
St. Paul,MN,69.3
Rochester,MN,63.2
Columbia,MO,71.0
Jackson,MS,73.5
Omaha,NE,67.5
Lincoln,NE,64.2
Henderson,NV,65.8
Missoula,MT,61.3
St. Louis,MO,74.7
Springfield,MO,66.4
Billings,MT,64.7
Las Vegas,NV,66.0
North Las Vegas,NV,67.1
Camden,NJ,76.3
Nashua,NH,71.7
Union City,NJ,73.4
Clifton,NJ,72.5
Newark,NJ,76.7
Passaic,NJ,71.8
Manchester,NH,71.4
Elizabeth,NJ,73.5
Sparks,NV,63.2
Reno,NV,63.1
Trenton,NJ,77.7
Paterson,NJ,74.2
Jersey City,NJ,76.5
Rio Rancho,NM,60.3
Albany,NY,73.9
Santa Fe,NM,57.2
New Rochelle,NY,72.1
Las Cruces,NM,62.0
Buffalo,NY,75.8
Albuquerque,NM,59.4
Mount Vernon,NY,76.5
New York,NY,74.3
Schenectady,NY,71.8
Yonkers,NY,71.8
Charlotte,NC,75.9
Cary,NC,74.1
Syracuse,NY,71.9
Rochester,NY,70.2
Asheville,NC,73.3
Greenville,NC,76.1
Winston-Salem,NC,72.6
Fayetteville,NC,75.7
Gastonia,NC,73.1
Raleigh,NC,75.4
Concord,NC,72.5
High Point,NC,73.2
Wilmington,NC,73.2
Durham,NC,74.1
Greensboro,NC,74.1
Jacksonville,NC,75.9
Cincinnati,OH,74.5
Cleveland,OH,75.4
Columbus,OH,73.5
Akron,OH,73.3
Fargo,ND,61.5
Canton,OH,74.2
Oklahoma City,OK,67.0
Toledo,OH,74.4
Norman,OK,66.9
Edmond,OK,66.5
Dayton,OH,74.4
Lawton,OK,71.1
Broken Arrow,OK,66.6
Youngstown,OH,74.7
Parma,OH,70.9
Eugene,OR,59.2
Allentown,PA,71.5
Salem,OR,60.5
Gresham,OR,58.4
Portland,OR,59.3
Tulsa,OK,67.6
Beaverton,OR,62.4
Bend,OR,62.6
Medford,OR,59.1
Hillsboro,OR,62.2
Bethlehem,PA,70.2
Philadelphia,PA,74.0
Erie,PA,72.8
Pittsburgh,PA,71.5
Pawtucket,RI,81.0
Reading,PA,69.9
Providence,RI,81.3
Sioux Falls,SD,66.9
Mount Pleasant,SC,65.7
Columbia,SC,70.0
Warwick,RI,79.4
Cranston,RI,80.7
Clarksville,TN,72.9
Charleston,SC,67.3
Rock Hill,SC,69.6
Chattanooga,TN,74.6
Knoxville,TN,69.4
Scranton,PA,69.3
Rapid City,SD,64.4
North Charleston,SC,69.2
Allen,TX,67.0
Amarillo,TX,65.7
Memphis,TN,73.1
Nashville,TN,73.0
Arlington,TX,68.4
Abilene,TX,66.4
Murfreesboro,TN,70.1
College Station,TX,71.6
Bryan,TX,71.9
Beaumont,TX,70.8
Carrollton,TX,67.4
Corpus Christi,TX,67.4
Baytown,TX,68.2
Dallas,TX,68.1
Brownsville,TX,66.1
Austin,TX,65.5
El Paso,TX,65.5
Frisco,TX,67.3
Denton,TX,67.2
Garland,TX,67.1
Edinburg,TX,66.0
Fort Worth,TX,68.2
Houston,TX,69.5
Grand Prairie,TX,68.2
Killeen,TX,70.0
McKinney,TX,66.7
League City,TX,65.1
Missouri City,TX,72.3
Odessa,TX,64.7
Midland,TX,64.5
Longview,TX,67.3
Lubbock,TX,65.4
Laredo,TX,65.9
Pasadena,TX,66.8
Lewisville,TX,67.6
Mesquite,TX,67.8
McAllen,TX,66.0
Pearland,TX,68.4
Mission,TX,65.9
Irving,TX,67.2
Pharr,TX,65.4
Richardson,TX,67.3
Plano,TX,67.1
Tyler,TX,68.1
Round Rock,TX,67.9
San Antonio,TX,64.3
Sugar Land,TX,69.2
San Angelo,TX,66.1
Waco,TX,68.1
Wichita Falls,TX,69.3
West Valley City,UT,61.3
Provo,UT,58.7
Newport News,VA,73.7
Salt Lake City,UT,61.7
Lynchburg,VA,72.1
Orem,UT,58.8
Hampton,VA,75.8
Layton,UT,63.5
Norfolk,VA,74.4
St. George,UT,60.3
Burlington,VT,64.4
Alexandria,VA,71.0
Ogden,UT,61.9
West Jordan,UT,61.6
Portsmouth,VA,76.3
Sandy,UT,61.8
Roanoke,VA,72.9
Auburn,WA,62.7
Kennewick,WA,61.5
Virginia Beach,VA,72.1
Bellingham,WA,63.9
Bellevue,WA,63.8
Seattle,WA,63.5
Spokane,WA,62.1
Kent,WA,63.3
Everett,WA,61.2
Renton,WA,64.0
