city,state,ob_data_value
Des Moines,IA,39.3
Overland Park,KS,26.1
South Bend,IN,38.7
Cedar Rapids,IA,34.5
Davenport,IA,38.3
Waterloo,IA,36.7
Topeka,KS,38.1
Iowa City,IA,32.7
Sioux City,IA,35.8
Kansas City,KS,40.0
Lafayette,IN,36.4
Kenner,LA,36.0
Lexington,KY,31.0
Wichita,KS,34.2
Lake Charles,LA,38.0
Baton Rouge,LA,37.7
Lafayette,LA,33.9
Louisville,KY,34.5
Cambridge,MA,23.2
Portland,ME,24.1
Shreveport,LA,40.9
New Orleans,LA,36.1
Brockton,MA,34.1
Lansing,MI,35.9
Boston,MA,26.7
Baltimore,MD,39.6
Fall River,MA,33.0
Dearborn,MI,32.2
Columbia,MO,31.0
Worcester,MA,31.4
Somerville,MA,24.2
Detroit,MI,44.9
Lynn,MA,30.3
Quincy,MA,22.7
New Bedford,MA,34.0
Lawrence,MA,34.4
Ann Arbor,MI,28.3
Springfield,MA,35.9
Newton,MA,20.7
Lowell,MA,27.6
Bloomington,MN,24.1
Warren,MI,35.3
Troy,MI,21.7
Southfield,MI,34.3
Kalamazoo,MI,36.3
Livonia,MI,26.3
Sterling Heights,MI,31.7
Grand Rapids,MI,35.0
Farmington Hills,MI,25.1
Westland,MI,31.1
Duluth,MN,28.9
Rochester Hills,MI,23.2
Wyoming,MI,33.0
Brooklyn Park,MN,26.2
Flint,MI,48.2
St. Paul,MN,28.6
Kansas City,MO,35.7
Gulfport,MS,36.9
Minneapolis,MN,27.5
Independence,MO,32.0
O'Fallon,MO,28.7
Plymouth,MN,22.0
Lee's Summit,MO,27.5
Rochester,MN,29.7
St. Joseph,MO,35.2
Jackson,MS,39.1
Henderson,NV,24.4
St. Louis,MO,36.4
Lincoln,NE,31.4
Springfield,MO,33.9
Missoula,MT,24.6
Omaha,NE,34.0
Billings,MT,26.4
Trenton,NJ,39.0
North Las Vegas,NV,29.6
Clifton,NJ,22.9
Paterson,NJ,33.2
Passaic,NJ,32.1
Newark,NJ,39.2
Las Vegas,NV,28.0
Camden,NJ,44.7
Jersey City,NJ,27.9
Reno,NV,24.6
Nashua,NH,29.4
Union City,NJ,33.9
Sparks,NV,24.4
Elizabeth,NJ,33.2
Manchester,NH,31.4
New Rochelle,NY,25.8
Buffalo,NY,36.3
Rio Rancho,NM,26.5
Las Cruces,NM,28.7
Santa Fe,NM,19.8
Albuquerque,NM,27.2
Albany,NY,31.3
Mount Vernon,NY,31.8
New York,NY,24.7
Syracuse,NY,35.3
Yonkers,NY,27.4
Cary,NC,25.1
Schenectady,NY,33.4
Asheville,NC,28.1
Rochester,NY,37.7
Raleigh,NC,31.5
Gastonia,NC,32.9
Durham,NC,32.2
Wilmington,NC,31.8
Greensboro,NC,34.0
Fayetteville,NC,35.6
