city,state,mh_data_value
Muncie,IN,17.9
Overland Park,KS,8.9
Davenport,IA,12.8
Iowa City,IA,11.2
Des Moines,IA,13.3
Lafayette,IN,16.4
Olathe,KS,9.9
South Bend,IN,16.7
Topeka,KS,13.2
Cedar Rapids,IA,11.8
Lake Charles,LA,16.6
Lexington,KY,14.3
Baton Rouge,LA,16.6
Kenner,LA,15.0
Wichita,KS,13.8
Lafayette,LA,15.8
Louisville,KY,14.9
Portland,ME,12.9
New Orleans,LA,15.5
Cambridge,MA,10.2
Brockton,MA,15.9
Baltimore,MD,15.7
Boston,MA,13.7
Shreveport,LA,17.5
Somerville,MA,11.3
Ann Arbor,MI,11.4
Lynn,MA,14.5
Newton,MA,9.5
New Bedford,MA,17.7
Detroit,MI,18.7
Lawrence,MA,15.7
Springfield,MA,17.4
Worcester,MA,15.4
Dearborn,MI,17.4
Lowell,MA,14.9
Fall River,MA,17.8
Quincy,MA,12.1
Wyoming,MI,15.0
Bloomington,MN,9.6
Rochester Hills,MI,10.7
Flint,MI,19.6
Livonia,MI,12.5
Duluth,MN,12.0
Grand Rapids,MI,14.9
Westland,MI,15.2
Southfield,MI,12.8
Warren,MI,16.6
Farmington Hills,MI,11.0
Sterling Heights,MI,14.7
Brooklyn Park,MN,10.3
Troy,MI,10.1
Lansing,MI,16.3
Kalamazoo,MI,16.5
Columbia,MO,13.5
Kansas City,MO,14.2
O'Fallon,MO,11.9
Gulfport,MS,15.8
St. Joseph,MO,15.9
Jackson,MS,15.8
Minneapolis,MN,10.7
St. Paul,MN,12.0
Independence,MO,15.5
Plymouth,MN,8.3
Lee's Summit,MO,11.8
Rochester,MN,10.1
Springfield,MO,16.1
Billings,MT,12.7
Lincoln,NE,10.9
St. Louis,MO,14.9
Omaha,NE,12.1
Henderson,NV,12.3
Missoula,MT,12.4
Union City,NJ,15.1
North Las Vegas,NV,14.4
Newark,NJ,16.4
Trenton,NJ,17.4
Sparks,NV,14.0
